id,target
Id_ln0e0hfrgx,22305000.0
Id_svf7nz9fxv,65017000.0
Id_ww2mh07gwj,77730000.0
Id_v88r4y03ww,19426000.0
Id_2u4y4kzglh,2938200.0
Id_fg5xfjllt4,21410600.0
Id_36nni5ck3y,49900000.0
Id_ba82xlxn6b,26886890.0
Id_00oxz7u1wh,82204000.0
Id_rtuwidza7r,27628000.0
Id_ig5fu4je0t,17511400.0
Id_82ghamllrc,6642790.0
Id_nlduydx4j8,35155000.0
Id_aqnys7s5jk,7243800.0
Id_5b44mi31so,35230000.0
Id_xmq0orr3ps,56213000.0
Id_vb1gojb1cu,29234000.0
Id_7z257yvzyw,45572000.0
Id_58q8t38nva,28677000.0
Id_8z6uoz393b,18198500.0
Id_9gf5o5hcux,45373000.0
Id_wqtmjqb7m2,10086130.0
Id_q0ibzrqxoc,65208000.0
Id_z45p3tbot2,25863000.0
Id_dkklfuxhpq,26386300.0
Id_1b606mpl4p,30358900.0
Id_4d8m3g1wea,81480000.0
Id_ec9j8ws9lt,39666000.0
Id_fwasw0onho,6562800.0
Id_qrq27l8oa8,57867000.0
Id_retgig1cps,31064000.0
Id_1q820b3xi1,68218000.0
Id_i42o5vcv4q,21019200.0
Id_tqpqwmw8nv,14125700.0
Id_aopbs73dkg,27730000.0
Id_qqhya8q9je,42875000.0
Id_7w7bb399z9,24979000.0
Id_e9j2fe72ai,42257000.0
Id_gkpmv3v4m3,42347000.0
Id_83l49plbfq,99330000.0
Id_fkangn004c,23228000.0
Id_h3udif2glc,57225000.0
Id_ykw176l05k,32191000.0
Id_9s8ak2k21h,68100000.0
Id_2873xncm39,26798300.0
Id_d8rz4uv5r1,68581000.0
Id_izkncv38r3,78472000.0
Id_lj0kzfquix,24021800.0
Id_hkbs54y4aa,41553000.0
Id_ooah1pyvm9,27877000.0
Id_q72f61u9ib,45767000.0
Id_pwucj9rqkz,28776500.0
Id_o6a4wjupd3,16591400.0
Id_zwy6kaapb3,44104000.0
Id_iezo0fjwjd,43534500.0
Id_us9byv8bhz,22482000.0
Id_9uxgfnmxot,33595000.0
Id_spelh6acm6,40639000.0
Id_cp1kly7ntu,63336000.0
Id_ubdczhavoj,11872300.0
Id_5jm6v968rw,55464000.0
Id_llhl9ci19l,30052000.0
Id_v75e4tjjyp,19180600.0
Id_xjbcoy2j3t,127186000.0
Id_g9ls8xasmf,34941600.0
Id_4il32jzymw,33351900.0
Id_hsar9qb88t,20305200.0
Id_e616f3pw24,34271000.0
Id_dxdf9ia7qq,27487800.0
Id_ts1bpzxmhf,46034000.0
Id_tkroyy1jrn,93536000.0
Id_4kire8foku,43429000.0
Id_b8jcitm9mb,47413000.0
Id_0lcc62azgt,45961900.0
Id_ii5e9k9rdn,58620000.0
Id_orvj8k9505,73905000.0
Id_4ho1b5bihf,70932000.0
Id_0fszzmatb2,13803400.0
Id_jczipbeekx,13783900.0
Id_7oeumi7wfc,24928900.0
Id_1qktcshxq6,26733000.0
Id_h6ly512bga,42326000.0
Id_j2mi3xzf5x,56928000.0
Id_ny4yh9avo8,17758000.0
Id_m9ohbj2egu,64615000.0
Id_x37vji5odd,29300000.0
Id_a73zxd6lr5,101079000.0
Id_halaamvvvp,50598000.0
Id_k4kkd2ico2,57208000.0
Id_17ixyxgfm4,10453600.0
Id_tigygaztu6,33420000.0
Id_9gnj56djlm,84841000.0
Id_flpv4jvtq9,31820000.0
Id_ppn1yrykhy,41115000.0
Id_feekjxu203,38749000.0
Id_25z907f057,45214900.0
Id_w1u0uv7prf,22621000.0
Id_g0ddcviyey,66606000.0
Id_2cwp9vm7ph,66279000.0
Id_plzeniztms,33288000.0
Id_sdxl4wyew3,29193000.0
Id_23kwe90eju,38726000.0
Id_5zrklzccpl,21116000.0
Id_heyzdak59s,27439000.0
Id_fat5t6u2m4,17748000.0
Id_77ppmeadhn,78059000.0
Id_vxy6mrz6o1,58882000.0
Id_og3uwtn2hy,28984000.0
Id_vkzbprc0ex,29466000.0
Id_9s836sw3fg,26978000.0
Id_pe4wok3hec,40984000.0
Id_e9vbg74189,64258000.0
Id_xujri7q3fa,3818970.0
Id_n6gfl4o7xr,36491000.0
Id_vu49qz0esw,27155000.0
Id_39akch4j7a,55609000.0
Id_12218dixmx,81643000.0
Id_miz87he32d,25774000.0
Id_ine023fr7j,40249000.0
Id_90eundk3eh,33259000.0
Id_ywxr21h3m6,6657500.0
Id_c4hgroycpy,34950000.0
Id_zbeqllnu6r,26931000.0
Id_sv6bs1nlkl,40392000.0
Id_1kfg6jyaks,65726000.0
Id_1ue4p6qfae,81794000.0
Id_2qpotaygkz,61502000.0
Id_i88okt3per,35975000.0
Id_cnft7tslmd,90305000.0
Id_hbmt870ttj,19256000.0
Id_ftykkdurbo,15654440.0
Id_92et0v23a1,30592000.0
Id_30rrqxx13z,21829000.0
Id_sme38ifgen,14838800.0
Id_wo4jc6u490,22939800.0
Id_e4rdskj2u7,11256800.0
Id_ejue1tqayi,57007000.0
Id_duztg7lyt6,39226000.0
Id_pl0fohddiy,6670700.0
Id_naug7kjyz8,28240000.0
Id_v3ch0vqi5f,41974000.0
Id_reioemrcxt,27596000.0
Id_8ndmdxxqnq,26732900.0
Id_ffu6ka7h31,68947000.0
Id_yojv3a1wu8,40592000.0
Id_rtj7s687fw,24606600.0
Id_ri1b4xn7bm,5918800.0
Id_0rs8693llp,30135000.0
Id_0vkl0xw6rp,52752000.0
Id_gaitxr89dj,66984000.0
Id_axpu0zqxe9,37896000.0
Id_lusdd80xyu,28641000.0
Id_mnbtn7ld9z,25097000.0
Id_rdm45l1rs7,47739000.0
Id_6a0wtwpr4a,39955000.0
Id_aebe8duy6q,60028000.0
Id_fpmvvv9mqg,60341000.0
Id_w8hqh2e6oa,42370000.0
Id_720qbphazk,31587000.0
Id_zku7ho36zr,17911000.0
Id_1qcz2e2pju,87043000.0
Id_v555u53ove,74691000.0
Id_gvl06cjgmf,84082000.0
Id_76k6u4rooh,33068000.0
Id_tjjhbwzzfq,35594400.0
Id_0sz95c196x,10922000.0
Id_ugcqy65rcp,18085000.0
Id_n8n6ur6fgr,117636000.0
Id_m877rjyf24,16308900.0
Id_w701ybiuh4,38289000.0
Id_lvp3j7omq6,11743200.0
Id_aib9bd74dw,31004000.0
Id_ijdkofn3fg,23331800.0
Id_gcri14ub0k,12713590.0
Id_1eh5k9lni9,18643600.0
Id_reysu9w8l0,31078100.0
Id_9prm4oy1fg,35872000.0
Id_cxal923pn7,12260300.0
Id_j47fgupb4y,28371900.0
Id_vve4503vlz,20332000.0
Id_cyfh5vm60q,21329800.0
Id_g7et7bbbbd,30124000.0
Id_c71dkirtua,46583000.0
Id_n4r54pyhkm,24525800.0
Id_74bxl357h6,42852000.0
Id_5t1gawkp02,51150000.0
Id_3nvk1bkqso,39923000.0
Id_1xz5sf72ge,23227000.0
Id_mv24b89tsb,31931000.0
Id_xfqqzkvmao,9489700.0
Id_wuz7tmx1ea,41113000.0
Id_8a6kjf9l15,31545000.0
Id_13m1y104i8,15578400.0
Id_wvzcy22qni,57463000.0
Id_b8v39iztyf,14018600.0
Id_o1jsdsyqx9,8512900.0
Id_z204xjw34e,41057000.0
Id_5w6n01rsl8,18948000.0
Id_h4bv2d5npa,48910000.0
Id_f4nos01dz7,11147600.0
Id_xrz3h253tx,38046000.0
Id_s8w0gn4y3j,28945000.0
Id_ufjjkhpxbg,35979000.0
Id_8vf8r8j8zu,4931700.0
Id_3dswdv2xda,14276600.0
Id_yc0s2a1vab,66461000.0
Id_7p3p4du9qx,39619000.0
Id_xt53q8czpn,42567000.0
Id_a39tmj6j1a,24325800.0
Id_6cc19b0xpo,43262500.0
Id_ug3knkaiym,80815000.0
Id_7rm5lneyg4,130567000.0
Id_bmvdobwdw4,42178000.0
Id_pabncmpmdg,17293700.0
Id_ol4zlpf68e,42451000.0
Id_9f8aswekkw,42090000.0
Id_olb90caf7u,45827000.0
Id_au57uy88vg,27742000.0
Id_yvuokq1828,52619000.0
Id_imrag69olq,15815400.0
Id_jug489fcqp,103388000.0
Id_x0evighy1k,21772000.0
Id_fvv1dfl3gj,17352500.0
Id_c4qizrwidc,13482800.0
Id_6rsqa0fufw,63638000.0
Id_ks2z3hqok1,18915500.0
Id_9npni65t9g,50675000.0
Id_uur0jwg2bn,35360000.0
Id_1szox8tltq,32927000.0
Id_rlmajwpq9l,53586000.0
Id_5l9jk48f9t,31275000.0
Id_5kttk6k2w4,23652240.0
Id_108e7h8yhk,28843000.0
Id_vio0jbax2z,33663000.0
Id_qjatqom7nb,37567000.0
Id_r9990eazdh,9309200.0
Id_2r82qdykkh,21137700.0
Id_7c1hmrds0g,16689000.0
Id_sfup00fhzy,34822000.0
Id_afys6dido6,23883400.0
Id_kp3k9hglv7,108571000.0
Id_s9o2yksrm3,31917000.0
Id_gr0ff95z5o,47047000.0
Id_g7qp2kr3gz,22094000.0
Id_4rqsosa835,41835000.0
Id_ue4ssmgmrf,24969000.0
Id_dhocmfunat,44488500.0
Id_dpv8xv55q0,11619800.0
Id_37bjmm6mp2,76096000.0
Id_3gz48w1oqi,67416000.0
Id_tpisw6lxvd,25442000.0
Id_uko0s10yoc,38430000.0
Id_qz4q2bra11,24040800.0
Id_sr258a7uv4,30694900.0
Id_2fnlkypc2m,29045000.0
Id_jr0xntro8z,43599000.0
Id_8d33crry5h,40649000.0
Id_bqb2ijy6ro,4005590.0
Id_wf76vlxrjd,85219000.0
Id_n08xsh8e2u,17492000.0
Id_yht3nza3rm,50533000.0
Id_2o8xag9czd,76111000.0
Id_iqeksb0075,41679000.0
Id_04hvef09yr,51134000.0
Id_5pc6psl2tq,49045000.0
Id_qs10hrc0ez,16775200.0
Id_3u4s6pm89z,43417000.0
Id_aue9adfat5,54345000.0
Id_n32bbf4j33,70079000.0
Id_1cmfgj6e8q,48287000.0
Id_id3xkmr1cu,35642000.0
Id_d3fkuyghzr,31079900.0
Id_9kg8ih7kwr,38858000.0
Id_5t3zcif6hs,45139800.0
Id_knbufs0ca5,70658000.0
Id_0d0t5qyxb0,37084000.0
Id_u9wbj1piy6,40826000.0
Id_8egjbxji14,67442000.0
Id_p568i879al,106042000.0
Id_urdhqb3ffb,60979500.0
Id_7a5eosbrgu,32616000.0
Id_ajn59pirjl,47935900.0
Id_1tlsmgz5jx,25420800.0
Id_5hnpfknb7r,31627200.0
Id_vjatnhbv6t,70593000.0
Id_mbl9s0e2ka,29807000.0
Id_3xfk7b826e,80832000.0
Id_3fgmafpzet,61219000.0
Id_2pz6kie3vs,35497000.0
Id_k7lf87g4ad,65382000.0
Id_l2y3xszdx0,85148000.0
Id_u6lvoiiit1,32675000.0
Id_i69ih4kjxw,39869000.0
Id_oml8ujur0k,34144000.0
Id_f8tbwd15yl,20642000.0
Id_lzr8mxln37,13745700.0
Id_od1zti1nhm,69706000.0
Id_8rn5eoirah,26868000.0
Id_ik9fl4pib6,40207000.0
Id_eli6q3eeyo,30004000.0
Id_ov9f62z9er,39592000.0
Id_tovu73lb2l,75646000.0
Id_7g7v1ggiqc,32951000.0
Id_gvkkwjvo02,90038000.0
Id_nigz0oqdts,50886000.0
Id_g9sm8extev,33787000.0
Id_zbca54rvjg,28116400.0
Id_gd46tfydo1,44100000.0
Id_i8byy26iem,54929000.0
Id_x2y84duapi,78152000.0
Id_wajlydq66q,17259000.0
Id_4wvid9fv9b,39501000.0
Id_p4e2ndfelq,42726000.0
Id_e4irn7a7ej,72802000.0
Id_axrnszhc8e,45284000.0
Id_ab75r5tvzm,22543200.0
Id_38jjaq552h,4268800.0
Id_ublh475a57,57942000.0
Id_g71dnzucy3,19369600.0
Id_ff5d6q2qy1,8184000.0
Id_9pwrzm5xh8,63400000.0
Id_j624d8dlph,18136500.0
Id_6pnk4o1156,49049000.0
Id_e4gy8vqv9p,66024000.0
Id_uo1iz53909,17889400.0
Id_kf5wf065j4,37250000.0
Id_nmbddls94w,78021000.0
Id_6zxz1sz4lr,78656000.0
Id_83avb9r4zp,42141000.0
Id_o0ozm7tnam,15628600.0
Id_1gikoh7l9o,49573000.0
Id_ynx0lapwwy,29801000.0
Id_dvhevxylwr,40907000.0
Id_gi0ds6yq4k,7654500.0
Id_a7u4t13usq,81853000.0
Id_iu2mktm1y3,54036500.0
Id_81t0huoiu9,50651000.0
Id_srogf2d61f,48979000.0
Id_lcsc0kwpvy,29895900.0
Id_iuwb5pvxzz,52792000.0
Id_4dg03c33z9,17480000.0
Id_nq2bbzetjb,79221000.0
Id_lvo2dwu9u0,46641000.0
Id_xmvom6l1cu,27227000.0
Id_m006qsqq8x,26589000.0
Id_0317smqve8,18244100.0
Id_w7tgzrcrud,31214000.0
Id_u8phy76lq6,20217300.0
Id_aqwpxtptez,46952000.0
Id_legoa4bzh4,31292900.0
Id_e8299scaov,28846000.0
Id_p5d82na8pi,8451000.0
Id_bqxylbss1e,13967600.0
Id_uc8jmaanxt,32927000.0
Id_qq89y8g14k,78650000.0
Id_f5nyeem6k6,26774000.0
Id_hu639xe98k,44348000.0
Id_cdxxnmpw7f,7686800.0
Id_oikkoe158u,50437900.0
Id_6jyjigzurz,15853900.0
Id_bglto0j4hq,86789000.0
Id_c5f2jbuail,38253000.0
Id_yen71wet8e,60534000.0
Id_92g6ob1brs,62397000.0
Id_ho9hcsdeq8,33541000.0
Id_3t6yovp9i4,15872300.0
Id_imuxlazt00,59822000.0
Id_edmh4a2zpi,33085000.0
Id_gjr5sblmvk,43244000.0
Id_wvsi342ic1,79155000.0
Id_6fjf1cnq3d,41698000.0
Id_nufzzm2vdm,42726000.0
Id_kjzyhp5ktd,91708000.0
Id_csiwq21wgw,94793000.0
Id_rmk6rzun3h,28197900.0
Id_5e467nw8fa,12732700.0
Id_9m935wjmcr,16258700.0
Id_fl0iz3buel,71002000.0
Id_6gf6hjw6u2,15064100.0
Id_lpf59hns8f,57913000.0
Id_62n11bgmjv,31866000.0
Id_2iyhlitg46,20812900.0
Id_ftuu5j4x1u,97642000.0
Id_oi137oyffc,17131900.0
Id_fji9j79k35,23394000.0
Id_b8q9jwdq92,42959000.0
Id_2aewhvo20y,31004000.0
Id_0e5u5gsd09,33596200.0
Id_e4f49b9rja,144548000.0
Id_op5arw2se6,26854000.0
Id_wnqw0uq26e,30303000.0
Id_k9oanjznjg,27377000.0
Id_yrmqjxmw8p,31127000.0
Id_d8w6efhc1p,58989000.0
Id_fnhh4v32y5,92575000.0
Id_gr4bxin5nu,29548700.0
Id_czrdor1h88,29596000.0
Id_16sf7zbhvd,32934000.0
Id_pmmva92loo,47402000.0
Id_qju3daqrno,36449000.0
Id_7vy204kxis,18216600.0
Id_6zxe2xiy3p,28703900.0
Id_ocdh4bb81w,42373000.0
Id_khv4dlupz9,18447100.0
Id_3838i4nkxo,1401430.0
Id_od0ryun5fy,12044700.0
Id_q8b73aqos3,34983000.0
Id_vtb4245uxs,63763000.0
Id_xdhs5u9rr5,37508000.0
Id_i6tcrqcgbu,40540000.0
Id_0exzvctqdr,44362000.0
Id_6tn2a2u8ux,37008000.0
Id_2i2pi2phur,40816000.0
Id_p9rvr03rzd,91925000.0
Id_v8id59lpi0,63455000.0
Id_3peajl141l,39266400.0
Id_nwf5lnt5wy,23212800.0
Id_0tjz6u22rd,16719400.0
Id_sbz7vytznd,27598400.0
Id_gcdx0rrrz8,65138000.0
Id_gp8cbs5qmh,52680000.0
Id_v4hqfroru6,76419000.0
Id_y8lbcgyemf,15070400.0
Id_kwe3yh1jgx,4579800.0
Id_6ymnlzdj6k,40898000.0
Id_i3f84uhng9,48116000.0
Id_p0lt1hmzp7,16945300.0
Id_4rgkgzzflm,27179000.0
Id_96bfl001jf,29054800.0
Id_fjsovegpd5,29224000.0
Id_g94blt6zdt,44038000.0
Id_axikr3mb8o,37886000.0
Id_40kaub2lg1,37015000.0
Id_z2uwds9eer,41977000.0
Id_kn8zt49150,38917000.0
Id_fvwqutlh1s,40819000.0
Id_9wsdku4ous,45351000.0
Id_edttr78t2u,86594000.0
Id_30cgt31gfg,41320000.0
Id_hdy01ulycj,29699000.0
Id_zoqhkaywus,10850400.0
Id_w5g59xwros,6233900.0
Id_ybwlcovklq,73352000.0
Id_q7muidkj0r,26549500.0
Id_ze1gjnhqiz,34237000.0
Id_6glkwde0c3,24962800.0
Id_ov6dubeq3x,32138000.0
Id_pygqe01848,33515000.0
Id_5f9nghfnbg,27701000.0
Id_my892oygv4,37134000.0
Id_yql2wzd7sz,20578900.0
Id_bqcripnw3o,63855000.0
Id_9j8qsg4ppf,29609000.0
Id_dlxywo7eyj,24224800.0
Id_d6nn2jylal,172956000.0
Id_8qtb7th3j5,75978000.0
Id_rzak7swcy7,41391000.0
Id_px5tuzymhv,5395000.0
Id_8ebhowwqxx,91737000.0
Id_6z5j5b8bsu,37981000.0
Id_g9t67jkucb,23163300.0
Id_mxwdbctyfd,43347000.0
Id_z1phxglbpr,23457800.0
Id_ixxfcehg31,4650700.0
Id_0wne3ccm0g,81663000.0
Id_tkuvlxxv3r,79354000.0
Id_rhslgrvbxg,8635400.0
Id_ousu37a82a,30231000.0
Id_4z081vwq19,14139200.0
Id_ezjk2raw5y,31559500.0
Id_va2dm481nt,11130500.0
Id_89ivexzpif,20613600.0
Id_nnyfin6pha,27427000.0
Id_gf98nwpfsz,30139900.0
Id_gpighttapg,13920500.0
Id_21gkh1iuai,27964000.0
Id_qgtlvwoi9h,44461000.0
Id_vm6v0oycu4,27158100.0
Id_73q2nzf248,51667000.0
Id_kiqwm9ed1q,40671000.0
Id_1mczgrfxqw,18580900.0
Id_37hp8owwdo,27775000.0
Id_os7j2205kq,27814000.0
Id_rkrbsc8715,32153000.0
Id_bhp7c2exzl,19723700.0
Id_b2qok4vxyx,34361000.0
Id_pa7h1qedib,28774000.0
Id_r5cymcv10o,30045000.0
Id_puf9q11wa9,25051600.0
Id_6ybeg0l9e7,36268100.0
Id_50hrw334or,54276000.0
Id_xvzl2itj9p,36423000.0
Id_vibi4n65r9,46367000.0
Id_8x4xb9xbke,32934000.0
Id_a1sq09jn7b,11772300.0
Id_jinlnmko3s,49370000.0
Id_hmvkp3drca,41736000.0
Id_9u3cawtb7r,3543630.0
Id_lzqawligqy,9885600.0
Id_wsmcd813c4,29580300.0
Id_hd3xqjswdq,28133000.0
Id_5pcp4ueg9a,63164000.0
Id_0opmq0qqxt,10273300.0
Id_n40qejqgba,38026000.0
Id_dfdr57nht4,10890900.0
Id_dgj9dcszue,27904000.0
Id_8q7ar8ibfy,31549000.0
Id_q58lq299kc,22531000.0
Id_qk6vy43vnq,46714000.0
Id_p0cxi54gfj,94153000.0
Id_wmz1ya8suf,16183000.0
Id_j72xt42b62,72691000.0
Id_qwmwvwglhg,27218000.0
Id_p93t2nnyyw,46843000.0
Id_4rpz3dom5h,37637000.0
Id_liyjfizyjh,11994200.0
Id_ghb8ew7to5,44106000.0
Id_bhd6m9j61n,14991400.0
Id_wqazedrfrw,21082200.0
Id_v5xv5tt8md,24372290.0
Id_b4hi7kw3by,8700700.0
Id_noyzu7igqk,2636000.0
Id_5qwpsq085w,13224900.0
Id_9323mxehtz,13814900.0
Id_1wg060qke0,27714500.0
Id_2jayf7um11,32417000.0
Id_hz0symywm1,27338000.0
Id_terwgjioqk,49451000.0
Id_u03rv8ehjh,41634000.0
Id_lmuohro4t1,41646000.0
Id_thb4xz4qo8,32559000.0
Id_gfe26mbrzw,54817000.0
Id_ml90mr2u5k,51723000.0
Id_3ei0fbntvm,16800000.0
Id_zw9ijwd333,4568100.0
Id_nx3so7pyzr,40378000.0
Id_114gdlzhxm,64423000.0
Id_tadklvqeru,42238000.0
Id_vw74hjd5gs,37653000.0
Id_mjg09dfkqh,42914000.0
Id_q39s5105ew,17646600.0
Id_nx8su42r2y,25132000.0
Id_w28azb3v0q,48868900.0
Id_0xixgi1t49,9082100.0
Id_tgb2gjrtqw,47677000.0
Id_ux0zlj1ala,52508500.0
Id_73alwfzg8n,41271000.0
Id_gv170pporh,13910200.0
Id_7l5rl8paqk,95546000.0
Id_bqdrd6v1b9,42009000.0
Id_osj73nzyxc,31781000.0
Id_hk2qqmzgzg,41474000.0
