id,target
Id_v5zctnuqsu,76174545.60960892
Id_hg4i94kfbg,24266707.180644102
Id_1wo0ti6az7,72852591.46240424
Id_j1afeth58t,16513792.210250542
Id_uxfrgg4mrw,74605688.50937042
Id_bahkipht8j,17804844.690976396
Id_t1iry5orn0,20647621.424434356
Id_tnfoimug0q,88225990.73829305
Id_0pg84brs9s,81524823.97937524
Id_dnlh2w774v,22764837.936742198
Id_h9eb3krzjm,91051045.27307793
Id_chj1tjcd0m,22801699.252340656
Id_3mjtpj9r89,85880242.99231404
Id_iu85a0ymec,20112294.57277841
Id_7jy9rm4wht,18720703.74603066
Id_jewaxkksj6,84230545.06809776
Id_0d1irziqxc,81633031.21996069
Id_2p7fly8s82,22952203.592670385
Id_ws19wj63dj,82422919.13200514
Id_b63levl1u3,84002759.3084517
Id_ni15y4ehm3,81212611.28606954
Id_0j5c4g387i,82455049.86501886
Id_zty35rx7fc,82254217.57496488
Id_0q45qan9yi,83783717.15663373
Id_929c9hqkz9,81530061.7198244
Id_am2uophvor,77530290.75417203
Id_zlwvyh8nty,77942377.83387363
Id_u8xigbuk9w,80154944.23829274
Id_e7ic8mkfis,76551039.9105785
Id_dorzhfbthx,83564029.50407788
Id_vqoc1qno8i,82090193.11375865
Id_s9p0hb54sn,72572218.02154651
Id_9k4aqfadri,76236615.50115292
Id_xv65jrcjkr,77162209.93129262
Id_8crey3piti,72918695.83852743
Id_ffob32ovve,44076542.41025538
Id_nnt9r7cpw3,69888885.24810281
Id_p5zab4sjjw,43381918.2973945
Id_gi6i8ilqjo,67817864.44124597
Id_mspbih3i8l,46078236.34457806
Id_ichr0qt6fx,81490550.99535996
Id_ow3luvubb3,44173500.567145176
Id_6cyj1m6bxd,76276129.99344996
Id_f8tbwd15yl,30449024.097310435
Id_njz9rj9x13,34124484.87044165
Id_al58kfv16f,75590380.01879981
Id_981q1zdxly,68804584.1980432
Id_jyw5ynb9cw,37243838.566202834
Id_2eb2xuquc3,66333965.02866365
Id_hfn4fgi58i,35152375.8145235
Id_0ulwd5m1em,23211974.501199648
Id_7kulupihj8,62500589.627224036
Id_0acrwfsyzg,21441397.709747083
Id_tssu81hcvs,56467528.97693311
Id_blgd0uo0c2,27436790.87160351
Id_g1m3nwd66j,52671072.07463089
Id_p7c18qe24p,49855581.18655112
Id_w47xl3deb5,33549608.293469567
Id_7ur1clfbik,32825327.736676827
Id_dbgfarijsw,45271754.820108965
Id_ild46d7gg3,34335393.6058801
Id_1w8fd6688d,46118583.41834277
Id_gcaogs2cwj,26592525.88896171
Id_zrffp4fh6f,47933152.235334665
Id_umz3ecv23u,30024117.31435233
Id_vgd8auaad2,46438388.75438717
