id,target
Id_v5zctnuqsu,61200669.00126343
Id_hg4i94kfbg,22744109.031751163
Id_1wo0ti6az7,64765909.32172653
Id_j1afeth58t,18937216.72637122
Id_uxfrgg4mrw,60912355.077187546
Id_bahkipht8j,19202839.75331326
Id_t1iry5orn0,16389128.339211963
Id_tnfoimug0q,71418613.08422956
Id_0pg84brs9s,71936185.1083526
Id_dnlh2w774v,21223372.839599073
Id_h9eb3krzjm,77501072.00228931
Id_chj1tjcd0m,24007412.106829863
Id_3mjtpj9r89,75308451.74447547
Id_iu85a0ymec,22898266.277461875
Id_7jy9rm4wht,14129190.808595791
Id_jewaxkksj6,66034123.264266886
Id_0d1irziqxc,74437847.44892548
Id_2p7fly8s82,22100221.283385627
Id_ws19wj63dj,72213269.87700872
Id_b63levl1u3,73084241.57538301
Id_ni15y4ehm3,83822696.83810788
Id_0j5c4g387i,79764286.13752057
Id_zty35rx7fc,85371839.62988785
Id_0q45qan9yi,84249788.76110189
Id_929c9hqkz9,83680678.4923893
Id_am2uophvor,81396355.66433348
Id_zlwvyh8nty,76232613.02400191
Id_u8xigbuk9w,81022317.51922986
Id_e7ic8mkfis,84536329.72684386
Id_dorzhfbthx,82599845.24071969
Id_vqoc1qno8i,80574261.01253615
Id_s9p0hb54sn,70267279.72194254
Id_9k4aqfadri,75866030.38529241
Id_xv65jrcjkr,72831728.72443008
Id_8crey3piti,75144713.96138854
Id_ffob32ovve,21078028.198130496
Id_nnt9r7cpw3,67513250.35148758
Id_p5zab4sjjw,21110031.21080497
Id_gi6i8ilqjo,64650139.03977971
Id_mspbih3i8l,21152675.15666955
Id_ichr0qt6fx,78884009.5561191
Id_ow3luvubb3,21770046.538306095
Id_6cyj1m6bxd,74328170.93285844
Id_f8tbwd15yl,22459554.303336408
Id_njz9rj9x13,25951801.52222211
Id_al58kfv16f,58583748.596238345
Id_981q1zdxly,62464069.44530165
Id_jyw5ynb9cw,28249907.367923964
Id_2eb2xuquc3,59211361.18916875
Id_hfn4fgi58i,31813748.5145139
Id_0ulwd5m1em,19656024.44454758
Id_7kulupihj8,47232528.46199344
Id_0acrwfsyzg,22836312.90965859
Id_tssu81hcvs,47236533.32299347
Id_blgd0uo0c2,26308753.01732914
Id_g1m3nwd66j,42261407.4249235
Id_p7c18qe24p,41848889.26470514
Id_w47xl3deb5,31709447.26680112
Id_7ur1clfbik,28201598.183088686
Id_dbgfarijsw,36639499.739934616
Id_ild46d7gg3,32294823.141862843
Id_1w8fd6688d,40627603.007968344
Id_gcaogs2cwj,27483566.371192545
Id_zrffp4fh6f,39844390.99693263
Id_umz3ecv23u,27328621.578149613
Id_vgd8auaad2,39855235.28367226
Id_0i7jhv43z0,35268637.11074312
Id_rttffg0ysc,43156423.1870753
Id_wm2tn2lqi1,44051483.622917674
Id_p9piif7at9,57167622.48865328
Id_emev5bs3va,50502830.942587994
Id_g89hcmhgbx,43582001.03876355
Id_48bn1pb402,46432054.045634575
Id_9fgexhvicm,51092639.24464303
Id_owjz5mqbjf,38596274.23906676
Id_n59noowtk5,39280341.755753174
Id_a0253zivuw,34961860.99115232
Id_iiqrl807ym,22037663.42021973
Id_nr06qq2fa4,18220145.730584525
Id_qme78ypb5r,25845345.350405328
Id_6hzt6hh23e,41425777.14267573
Id_0sgyvi4grj,25787743.72820303
Id_tbnby7oi4m,41631216.7793275
Id_knb80ai5dt,29160359.810984336
Id_fwkvga3e3j,27079043.346926484
Id_ffolzybvbp,28014053.352940157
Id_fgvi590zg1,28958115.559150256
Id_op48xoeq2h,29716034.76873394
Id_fvwl7ht3qa,26871874.25506906
Id_yo9oh28enz,30106843.8412562
Id_qumusqeav8,24804635.25820603
Id_go225xvpyg,25293354.623926938
Id_whkqoyqb4h,26474786.497646883
Id_ubnocxc6mz,22097628.938631
Id_xrurflmyo3,26852507.132037707
Id_up49tucj81,21692268.529845275
Id_4wqaini4zg,24482760.54321641
Id_g69lzykefz,20611543.481397755
Id_pjq661pbo1,20150888.06562677
Id_pyt4ieggid,15821666.7343515
Id_ig6qkpvjmw,17819749.389584154
Id_kq3elte7dx,17319926.038332433
Id_mlwx1t8yjy,17092631.060720026
Id_2hy5d5ua2j,24408372.11144365
Id_5q9dvhy0hh,24584166.806080237
Id_z8cv3ol7oz,29540804.762765855
Id_j5ivmdoj0p,27046422.533303164
Id_k1neu11zth,27364211.956170034
Id_3zl0t47j9z,27815867.881390482
Id_ybokoze5xi,17274641.893192068
