id,target
Id_v5zctnuqsu,62177622.67681935
Id_hg4i94kfbg,26802286.16190747
Id_1wo0ti6az7,62563109.79667567
Id_j1afeth58t,21394639.531663686
Id_uxfrgg4mrw,60451130.64025531
Id_bahkipht8j,22381095.317279045
Id_t1iry5orn0,19896395.807562694
Id_tnfoimug0q,77485982.01118924
Id_0pg84brs9s,77673059.07788736
Id_dnlh2w774v,24744892.670981035
Id_h9eb3krzjm,79107405.96686308
Id_chj1tjcd0m,27341361.193030234
Id_3mjtpj9r89,71067912.10066317
Id_iu85a0ymec,26130249.235346526
Id_7jy9rm4wht,17303380.69147498
Id_jewaxkksj6,70459457.85820112
Id_0d1irziqxc,73731331.73353063
Id_2p7fly8s82,27741686.657775298
Id_ws19wj63dj,69403000.34989944
Id_b63levl1u3,77053784.95200765
Id_ni15y4ehm3,82242323.01236582
Id_0j5c4g387i,77594118.80227499
Id_zty35rx7fc,82762058.97212422
Id_0q45qan9yi,82957953.66028464
Id_929c9hqkz9,87652775.90914106
Id_am2uophvor,83116719.14701131
Id_zlwvyh8nty,73411855.51233013
Id_u8xigbuk9w,80337017.46644735
Id_e7ic8mkfis,78338324.47295897
Id_dorzhfbthx,85053114.16702265
Id_vqoc1qno8i,84483208.9581336
Id_s9p0hb54sn,66042142.740425795
Id_9k4aqfadri,77037513.56823903
Id_xv65jrcjkr,66039894.4883035
Id_8crey3piti,72909668.4287468
Id_ffob32ovve,25003098.592095524
Id_nnt9r7cpw3,61135741.4858209
Id_p5zab4sjjw,22130954.468348265
Id_gi6i8ilqjo,59346072.968311474
Id_mspbih3i8l,24732122.517568327
Id_ichr0qt6fx,73094356.13501532
Id_ow3luvubb3,23656213.312561583
Id_6cyj1m6bxd,69811576.49168119
Id_f8tbwd15yl,28508060.98268704
Id_njz9rj9x13,32812238.487402577
Id_al58kfv16f,58588444.555597335
Id_981q1zdxly,62171446.68164435
Id_jyw5ynb9cw,34971568.970845915
Id_2eb2xuquc3,58294531.330642134
Id_hfn4fgi58i,37236613.56461269
Id_0ulwd5m1em,25814837.34024609
Id_7kulupihj8,49300080.42823154
Id_0acrwfsyzg,28136513.788393524
Id_tssu81hcvs,42275458.35507106
Id_blgd0uo0c2,29606138.02757196
Id_g1m3nwd66j,37701358.66378539
Id_p7c18qe24p,43281059.37598207
Id_w47xl3deb5,35538795.26597783
Id_7ur1clfbik,32036520.720215816
Id_dbgfarijsw,38323403.37697217
Id_ild46d7gg3,37274706.89801524
Id_1w8fd6688d,37227180.87701164
Id_gcaogs2cwj,32383163.08611931
Id_zrffp4fh6f,39291939.52403555
Id_umz3ecv23u,30894236.1615479
Id_vgd8auaad2,38468268.479007855
Id_0i7jhv43z0,36844871.60205206
Id_rttffg0ysc,49693799.94843954
Id_wm2tn2lqi1,47215633.29722295
Id_p9piif7at9,49992223.217379056
Id_emev5bs3va,49283494.16304898
Id_g89hcmhgbx,50000317.16425313
Id_48bn1pb402,48931285.49448917
Id_9fgexhvicm,46285611.69695705
Id_owjz5mqbjf,45894963.36133378
Id_n59noowtk5,37460551.030373394
Id_a0253zivuw,35762161.04768344
