iter	RMSE
0	39715809.91
1	36837473.49
2	34203479.93
3	31820465.6
4	29699752.39
5	27917087.35
6	26205456.94
7	24744951.82
8	23440220.18
9	22266182.4
10	21243803.7
11	20287371.96
12	19440161.54
13	18695007.55
14	18000765.75
15	17396396.6
16	16884546.71
17	16399268.85
18	15990895.54
19	15633515.16
20	15309392.6
21	14992231.8
22	14748341.18
23	14494472.99
24	14284253.47
25	14063764.59
26	13869960.47
27	13679199.04
28	13521071.38
29	13394187.71
30	13247888.55
31	13115075.7
32	12981611.53
33	12879284.17
34	12784637.51
35	12692960.46
36	12612478.5
37	12508455.88
38	12436758.44
39	12368179.52
40	12291322.64
41	12229407.42
42	12171183.37
43	12110699.15
44	12060523.05
45	12017682.83
46	11967078.09
47	11923251.72
48	11871323.89
49	11820596.18
50	11773369.93
51	11734598.03
52	11697396.21
53	11644490.89
54	11597461.21
55	11554612.04
56	11514157.15
57	11476789.92
58	11437971.86
59	11405961.11
60	11381814.59
61	11332912.55
62	11298689.57
63	11269593.02
64	11244508.56
65	11212297.1
66	11180409.64
67	11144484.72
68	11116370.52
69	11094341.78
70	11057910.72
71	11019518.09
72	10986114.94
73	10951933.9
74	10915277.05
75	10888344.47
76	10852883.31
77	10812739.91
78	10782061.76
79	10762175.51
80	10735507.21
81	10713730.99
82	10694503.81
83	10662561.43
84	10637665.77
85	10610612.93
86	10592529.7
87	10554264.9
88	10528051.49
89	10501385.63
90	10480073.1
91	10457324.25
92	10434021.99
93	10417480.73
94	10382883.15
95	10354591.6
96	10318099.28
97	10300355.6
98	10271225.78
99	10221646.3
100	10193524.76
101	10176048.27
102	10146466.43
103	10130180.12
104	10115612.48
105	10105402.84
106	10084133.51
107	10067342.37
108	10049606.41
109	10028220.82
110	10000528.66
111	9989154.528
112	9964585.105
113	9938781.601
114	9920893.346
115	9901579.036
116	9876914.77
117	9847085.825
118	9825259.829
119	9813343.572
120	9781738.776
121	9765381.549
122	9741660.569
123	9719807.003
124	9687267.754
125	9666228.053
126	9649645.968
127	9629139.362
128	9601138.734
129	9584686.814
130	9559282.464
131	9537218.811
132	9526095.807
133	9506571.013
134	9496291.067
135	9472104.246
136	9446134.211
137	9429529.151
138	9417046.956
139	9392956.489
140	9376567.669
141	9358662.059
142	9331595.399
143	9315577.192
144	9302353.295
145	9278234.692
146	9258523.353
147	9238095.756
148	9218248.414
149	9198768.802
150	9183046.003
151	9164579.444
152	9148562.667
153	9130311.264
154	9113555.342
155	9093896.014
156	9080330.508
157	9067288.651
158	9048581.023
159	9025832.57
160	9014153.696
161	9003954.563
162	8985262.585
163	8970370.609
164	8957195.012
165	8935360.755
166	8925538.056
167	8914661.099
168	8902181.861
169	8891918.265
170	8881225.534
171	8866000.362
172	8852172.955
173	8832192.723
174	8821575.409
175	8806469.345
176	8795007.027
177	8784593.242
178	8771341.837
179	8758530.801
180	8741770.22
181	8726981.961
