iter	Passed	Remaining
0	34	34247
1	65	32848
2	88	29514
3	119	29863
4	142	28409
5	165	27388
6	187	26591
7	211	26170
8	240	26485
9	261	25913
10	283	25514
11	305	25168
12	329	25010
13	350	24669
14	372	24463
15	394	24232
16	416	24067
17	441	24061
18	466	24081
19	489	23969
20	510	23790
21	530	23596
22	552	23470
23	575	23400
24	599	23375
25	618	23152
26	640	23094
27	660	22939
28	681	22829
29	701	22697
30	721	22553
31	747	22621
32	768	22505
33	788	22393
34	807	22262
35	829	22204
36	853	22211
37	876	22179
38	896	22102
39	916	21988
40	936	21902
41	961	21928
42	989	22016
43	1007	21897
44	1028	21828
45	1055	21881
46	1077	21854
47	1100	21828
48	1121	21758
49	1142	21709
50	1162	21631
51	1181	21547
52	1199	21430
53	1221	21391
54	1242	21354
55	1266	21357
56	1288	21315
57	1311	21296
58	1339	21363
59	1358	21288
60	1377	21197
61	1399	21173
62	1421	21149
63	1442	21101
64	1464	21071
65	1485	21018
66	1503	20931
67	1522	20873
68	1543	20821
69	1562	20761
70	1584	20738
71	1606	20709
72	1626	20655
73	1646	20608
74	1676	20671
75	1705	20740
76	1726	20694
77	1749	20680
78	1771	20648
79	1791	20596
80	1812	20566
81	1833	20526
82	1851	20457
83	1877	20474
84	1896	20414
85	1915	20358
86	1937	20331
87	1972	20438
88	1994	20416
89	2015	20383
90	2037	20351
91	2058	20316
92	2084	20327
93	2104	20284
94	2125	20244
95	2146	20217
96	2167	20176
97	2188	20144
98	2211	20122
99	2234	20113
100	2257	20091
101	2279	20065
102	2301	20043
103	2326	20039
104	2344	19983
105	2364	19940
106	2386	19915
107	2405	19869
108	2426	19830
109	2445	19784
110	2467	19762
111	2492	19763
112	2514	19736
113	2535	19705
114	2555	19665
115	2576	19634
116	2598	19608
117	2618	19572
118	2642	19567
119	2662	19522
120	2684	19499
121	2706	19481
122	2729	19459
123	2749	19426
124	2771	19397
125	2792	19369
126	2811	19325
127	2830	19283
128	2860	19312
129	2889	19339
130	2926	19414
131	2963	19486
132	3003	19577
133	3052	19727
134	3096	19843
135	3144	19977
136	3192	20110
137	3241	20246
138	3280	20322
139	3328	20446
140	3371	20540
141	3420	20667
142	3471	20804
143	3521	20930
144	3572	21068
145	3623	21196
146	3674	21319
147	3725	21445
148	3765	21504
149	3816	21625
150	3858	21696
151	3898	21751
152	3926	21738
153	3974	21832
154	4011	21868
155	4041	21863
156	4074	21877
157	4124	21977
158	4174	22079
159	4230	22207
160	4276	22286
161	4312	22307
162	4354	22361
163	4404	22451
164	4456	22553
165	4490	22559
166	4533	22615
167	4579	22680
168	4628	22760
169	4675	22826
170	4722	22896
171	4774	22985
172	4805	22972
173	4854	23047
174	4905	23124
175	4956	23206
176	5002	23259
177	5045	23299
178	5096	23376
179	5148	23455
180	5195	23509
181	5242	23562
182	5287	23607
183	5333	23651
184	5377	23690
185	5424	23740
186	5481	23833
187	5529	23882
188	5573	23917
189	5618	23951
190	5665	23998
191	5713	24043
192	5761	24088
193	5804	24117
194	5859	24187
195	5902	24211
196	5954	24273
197	5998	24297
198	6046	24337
199	6086	24345
200	6114	24305
201	6158	24330
202	6203	24354
203	6264	24442
204	6309	24467
205	6359	24512
206	6413	24569
207	6457	24586
208	6509	24638
209	6554	24658
210	6600	24681
211	6647	24709
212	6688	24711
213	6739	24753
214	6784	24772
215	6836	24812
216	6878	24819
217	6923	24835
218	6972	24865
219	7016	24876
220	7043	24828
221	7077	24803
222	7125	24826
223	7185	24894
224	7226	24892
225	7271	24902
226	7316	24914
227	7365	24938
228	7412	24958
229	7446	24929
230	7470	24867
231	7493	24806
232	7516	24742
233	7535	24666
234	7557	24600
235	7579	24537
236	7601	24472
237	7626	24417
238	7645	24343
239	7667	24278
240	7686	24207
241	7708	24143
242	7729	24078
243	7757	24035
244	7779	23975
245	7801	23912
246	7828	23864
247	7848	23799
248	7873	23745
249	7893	23681
250	7913	23614
251	7934	23551
252	7956	23492
253	7981	23441
254	8016	23421
255	8040	23369
256	8062	23307
257	8080	23239
258	8100	23176
259	8122	23118
260	8143	23057
261	8165	23001
262	8188	22946
263	8211	22893
264	8232	22833
265	8258	22789
266	8280	22733
267	8303	22680
268	8326	22626
269	8346	22567
270	8369	22515
271	8393	22464
272	8416	22412
273	8437	22356
274	8463	22312
275	8484	22256
276	8506	22203
277	8528	22149
278	8548	22091
279	8568	22032
280	8589	21977
281	8611	21926
282	8634	21876
283	8655	21820
284	8678	21772
285	8701	21722
286	8721	21667
287	8742	21612
288	8761	21555
289	8784	21505
290	8808	21461
291	8833	21419
292	8858	21374
293	8877	21318
294	8899	21268
295	8920	21217
296	8946	21175
297	8967	21124
298	9000	21102
299	9021	21051
300	9043	21001
301	9066	20955
302	9088	20905
303	9113	20864
304	9136	20818
305	9158	20771
306	9178	20719
307	9199	20670
308	9218	20615
309	9239	20565
310	9265	20526
311	9283	20471
